Product,Price(EUR),Weight(kg)
apple,2.95,3.33
orange,3.06,11.24
carrot,1.68,15.19
juice,4.29,13.41
chocolate,2.86,6.61
oil,1.99,12.68
cookies,3.87,5.15
flour,0.59,6.98
sugar,3.42,14.92
eggs,4.57,4.36
butter,3.91,15.67
milk,3.3,2.39
cheese,2.29,1.3
rice,3.3,15.93
water,1.44,15.03
chips,1.2,9.79
sausage,2.54,15.4
pear,4.19,12.3
peach,2.25,6.76
lemon,4.33,7.87
grape,0.53,5.34
onion,2.65,6.21
garlic,2.77,3.37
banana,2.54,9.83
cucumber,2.01,9.59
radish,2.2,7.16
tomato,3.43,14.08
chicken,0.72,8.21
potato,2.19,5.21
bread,0.71,13.47
